,count,tag,poiId,shopName,_id
0,514,回头客,2708066,牛皇叔（中山路店）,5ddb7467896226c2867df100
1,459,菜品健康,2708066,牛皇叔（中山路店）,5ddb7467896226c2867df101
2,21,海鲜棒,2708066,牛皇叔（中山路店）,5ddb7467896226c2867df102
3,6,停车方便,2708066,牛皇叔（中山路店）,5ddb7467896226c2867df103
4,54,朋友聚餐,2708066,牛皇叔（中山路店）,5ddb7467896226c2867df104
5,6,闺蜜聚会,2708066,牛皇叔（中山路店）,5ddb7467896226c2867df105
6,6,家庭聚餐,2708066,牛皇叔（中山路店）,5ddb7467896226c2867df106
7,5,现做现卖,2708066,牛皇叔（中山路店）,5ddb7467896226c2867df107
8,57,饮品差,2708066,牛皇叔（中山路店）,5ddb7467896226c2867df108
9,55,上菜慢,2708066,牛皇叔（中山路店）,5ddb7467896226c2867df109
""
,count,tag,poiId,shopName,_id
0,385,味道赞,52973330,田园四季椰子鸡,5ddb784ab2d2604c5e81ec9a
1,211,回头客,52973330,田园四季椰子鸡,5ddb784ab2d2604c5e81ec9b
2,161,上菜快,52973330,田园四季椰子鸡,5ddb784ab2d2604c5e81ec9c
3,142,菜品不错,52973330,田园四季椰子鸡,5ddb784ab2d2604c5e81ec9d
4,127,肉类好,52973330,田园四季椰子鸡,5ddb784ab2d2604c5e81ec9e
5,43,有表演,52973330,田园四季椰子鸡,5ddb784ab2d2604c5e81ec9f
6,13,停车方便,52973330,田园四季椰子鸡,5ddb784ab2d2604c5e81eca0
7,18,家庭聚餐,52973330,田园四季椰子鸡,5ddb784ab2d2604c5e81eca1
8,11,朋友聚餐,52973330,田园四季椰子鸡,5ddb784ab2d2604c5e81eca2
9,3,请客,52973330,田园四季椰子鸡,5ddb784ab2d2604c5e81eca3
,count,tag,poiId,shopName,_id
0,134,味道赞,40667565,Mini魅萨,5ddb7897b2d2604c5e81f686
1,105,回头客,40667565,Mini魅萨,5ddb7897b2d2604c5e81f687
2,74,上菜快,40667565,Mini魅萨,5ddb7897b2d2604c5e81f688
3,72,饮品赞,40667565,Mini魅萨,5ddb7897b2d2604c5e81f689
4,37,点心好,40667565,Mini魅萨,5ddb7897b2d2604c5e81f68a
5,22,菜品精致,40667565,Mini魅萨,5ddb7897b2d2604c5e81f68b
6,3,肉类好,40667565,Mini魅萨,5ddb7897b2d2604c5e81f68c
7,8,朋友聚餐,40667565,Mini魅萨,5ddb7897b2d2604c5e81f68d
8,6,弄堂小店,40667565,Mini魅萨,5ddb7897b2d2604c5e81f68e
9,3,下午茶,40667565,Mini魅萨,5ddb7897b2d2604c5e81f68f
,count,tag,poiId,shopName,_id
0,26,环境优雅,188794054,朵客DUOKE（新一城店）,5ddb789eb2d2604c5e81fc6c
1,23,服务热情,188794054,朵客DUOKE（新一城店）,5ddb789eb2d2604c5e81fc6d
2,21,干净整洁,188794054,朵客DUOKE（新一城店）,5ddb789eb2d2604c5e81fc6e
3,20,饮品赞,188794054,朵客DUOKE（新一城店）,5ddb789eb2d2604c5e81fc6f
4,14,回头客,188794054,朵客DUOKE（新一城店）,5ddb789eb2d2604c5e81fc70
5,14,菜品不错,188794054,朵客DUOKE（新一城店）,5ddb789eb2d2604c5e81fc71
6,14,性价比高,188794054,朵客DUOKE（新一城店）,5ddb789eb2d2604c5e81fc72
7,12,味道赞,188794054,朵客DUOKE（新一城店）,5ddb789eb2d2604c5e81fc73
8,10,上菜快,188794054,朵客DUOKE（新一城店）,5ddb789eb2d2604c5e81fc74
9,3,文艺清新,188794054,朵客DUOKE（新一城店）,5ddb789eb2d2604c5e81fc75
,count,tag,poiId,shopName,_id
0,171,服务热情,52170056,芭稻,5ddb78beb2d2604c5e81fd02
1,72,味道赞,52170056,芭稻,5ddb78beb2d2604c5e81fd03
2,42,饮品赞,52170056,芭稻,5ddb78beb2d2604c5e81fd04
3,41,回头客,52170056,芭稻,5ddb78beb2d2604c5e81fd05
4,39,环境优雅,52170056,芭稻,5ddb78beb2d2604c5e81fd06
5,27,性价比高,52170056,芭稻,5ddb78beb2d2604c5e81fd07
6,22,上菜快,52170056,芭稻,5ddb78beb2d2604c5e81fd08
7,12,干净整洁,52170056,芭稻,5ddb78beb2d2604c5e81fd09
8,6,菜品精致,52170056,芭稻,5ddb78beb2d2604c5e81fd0a
9,8,分量少,52170056,芭稻,5ddb78beb2d2604c5e81fd0b
,count,tag,poiId,shopName,_id
0,183,服务热情,41714384,陕西人家,5ddb78ebb2d2604c5e81ff50
1,171,味道赞,41714384,陕西人家,5ddb78ebb2d2604c5e81ff51
2,60,回头客,41714384,陕西人家,5ddb78ebb2d2604c5e81ff52
3,60,菜品精致,41714384,陕西人家,5ddb78ebb2d2604c5e81ff53
4,56,上菜快,41714384,陕西人家,5ddb78ebb2d2604c5e81ff54
5,42,分量足,41714384,陕西人家,5ddb78ebb2d2604c5e81ff55
6,39,肉类好,41714384,陕西人家,5ddb78ebb2d2604c5e81ff56
7,20,主食赞,41714384,陕西人家,5ddb78ebb2d2604c5e81ff57
8,3,交通便利,41714384,陕西人家,5ddb78ebb2d2604c5e81ff58
9,3,饮品赞,41714384,陕西人家,5ddb78ebb2d2604c5e81ff59
""
,count,tag,poiId,shopName,_id
0,299,回头客,41869887,唐菓蜜·猪扒包·卤肉卷,5ddb7bb40674af3657381bf1
1,223,上菜快,41869887,唐菓蜜·猪扒包·卤肉卷,5ddb7bb40674af3657381bf2
2,206,饮品赞,41869887,唐菓蜜·猪扒包·卤肉卷,5ddb7bb40674af3657381bf3
3,188,菜品精致,41869887,唐菓蜜·猪扒包·卤肉卷,5ddb7bb40674af3657381bf4
4,30,肉类好,41869887,唐菓蜜·猪扒包·卤肉卷,5ddb7bb40674af3657381bf5
5,10,停车方便,41869887,唐菓蜜·猪扒包·卤肉卷,5ddb7bb40674af3657381bf6
6,33,朋友聚餐,41869887,唐菓蜜·猪扒包·卤肉卷,5ddb7bb40674af3657381bf7
7,12,现做现卖,41869887,唐菓蜜·猪扒包·卤肉卷,5ddb7bb40674af3657381bf8
8,6,弄堂小店,41869887,唐菓蜜·猪扒包·卤肉卷,5ddb7bb40674af3657381bf9
9,3,家庭聚餐,41869887,唐菓蜜·猪扒包·卤肉卷,5ddb7bb40674af3657381bfa
,count,tag,poiId,shopName,_id
0,169,饮品赞,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833c5
1,99,回头客,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833c6
2,61,点心好,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833c7
3,50,上菜快,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833c8
4,27,菜品精致,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833c9
5,15,肉类好,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833ca
6,5,主食赞,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833cb
7,7,朋友聚餐,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833cc
8,5,闺蜜聚会,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833cd
9,4,下午茶,52593417,武夷贡茶（谷饶店）,5ddb7c0f0674af36573833ce
,count,tag,poiId,shopName,_id
0,21,环境优雅,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383ac3
1,13,饮品赞,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383ac4
2,9,价格实惠,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383ac5
3,8,分量足,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383ac6
4,8,干净整洁,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383ac7
5,7,性价比高,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383ac8
6,6,味道赞,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383ac9
7,5,上菜快,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383aca
8,4,服务热情,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383acb
9,3,回头客,193289132,朵客DUOKE（卜蜂中心店）,5ddb7c130674af3657383acc
,count,tag,poiId,shopName,_id
0,221,服务热情,6891322,丹喜面包（金凤店）,5ddb7c510674af3657383b13
1,173,味道赞,6891322,丹喜面包（金凤店）,5ddb7c510674af3657383b14
2,165,点心好,6891322,丹喜面包（金凤店）,5ddb7c510674af3657383b15
3,115,性价比高,6891322,丹喜面包（金凤店）,5ddb7c510674af3657383b16
4,82,价格实惠,6891322,丹喜面包（金凤店）,5ddb7c510674af3657383b17
